Item,Part Name,Quantity,Source,Link,Unit Cost,Total Cost,Notes
"U1, U2, U3",Op Amp (LM358DR2G,3,JLCPCB Parts,https://jlcpcb.com/partdetail/onsemi-LM358DR2G/C7950,0.08,0.24,
R,Resistors,23,JLCPCB Parts,JLCPCB Basic,Minimal,Minimal,
D,Diodes,4,JLCPCB Parts,https://jlcpcb.com/partdetail/65968-SM4007PL/C64898,Minimal,Minimal,
C,Capacitors,9,JLCPCB Parts,JLCPCB Basic,Minimal,Minimal,
SW1-SW3,Rotary Encoders,3,Aliexpress,https://www.aliexpress.com/item/1005008773438800.html?spm=a2g0o.productlist.main.4.6caf67db8wY43y&aem_p4p_detail=20251021225419728471436773700001126656&algo_pvid=33d9d21c-5db8-425e-b5e4-98c99a6a57ad&algo_exp_id=33d9d21c-5db8-425e-b5e4-98c99a6a57ad-3&pdp_ext_f=%7B%22order%22%3A%2244%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.09%210.99%21%21%2121.93%217.05%21%40210319b717611124590108818eb1c8%2112000048927220926%21sea%21NZ%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Abeb8c3d2%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461950&curPageLogUid=7pVJIb4zHbn9&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008773438800%7C_p_origin_prod%3A&search_p4p_id=20251021225419728471436773700001126656_1,NA,3.32,Batch of five
"RV3, RV4",Potentiometers,2,Aliexpress,https://www.aliexpress.com/item/1005009279286977.html?spm=a2g0o.productlist.main.9.3d663775RNmcx3&algo_pvid=c2dfce7a-b170-4a07-a5f8-63d1f6594e30&algo_exp_id=c2dfce7a-b170-4a07-a5f8-63d1f6594e30-8&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.12%211.84%21%21%2115.00%2113.05%21%402101cb9417610761771086047ea9d2%2112000048591374661%21sea%21NZ%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Abeb8c3d2%3Bm03_new_user%3A-29895&curPageLogUid=NX8whLlntUPv&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009279286977%7C_p_origin_prod%3A#nav-specification,NA,2.12,Batch of two
"VR1, VR2",Trim Pots,2,Aliexpress,https://www.aliexpress.com/item/1005008933366467.html?spm=a2g0o.productlist.main.2.5d6e181cLNm8IK&algo_pvid=6d7d86ed-1912-4824-8d80-b0a5bc65a905&algo_exp_id=6d7d86ed-1912-4824-8d80-b0a5bc65a905-1&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.50%212.50%21%21%212.50%212.50%21%402101d49617611126241312153e49b8%2112000047259060180%21sea%21NZ%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Abeb8c3d2%3Bm03_new_user%3A-29895&curPageLogUid=RflDh2KpwnZy&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008933366467%7C_p_origin_prod%3A,NA,2.5,Batch of ten
Q1-Q3,Transistor,3,Aliexpress,https://www.aliexpress.com/item/1005009709874835.html?spm=a2g0o.productlist.main.4.7c812343vu2ybN&aem_p4p_detail=20251021225812789141495238000001136822&algo_pvid=4b2647f9-e07e-481b-9028-46523c268ebd&algo_exp_id=4b2647f9-e07e-481b-9028-46523c268ebd-3&pdp_ext_f=%7B%22order%22%3A%2211%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.12%211.12%21%21%211.12%211.12%21%402101f41a17611126920528685e99d7%2112000049920194524%21sea%21NZ%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Abeb8c3d2%3Bm03_new_user%3A-29895&curPageLogUid=lQghAouqlrHS&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009709874835%7C_p_origin_prod%3A&search_p4p_id=20251021225812789141495238000001136822_1,NA,1.12,Batch of 100 (genuinely could not find smaller batch for cheap)
NA,3PDT Switch,1,Aliexpress,https://www.aliexpress.com/item/727448148.html?spm=a2g0o.productlist.main.4.28ec52a9ZakJT4&aem_p4p_detail=202510212300455824725483349480001149988&algo_pvid=ceacb239-3ac1-475d-937f-75835e5627ed&algo_exp_id=ceacb239-3ac1-475d-937f-75835e5627ed-3&pdp_ext_f=%7B%22order%22%3A%2240%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.84%210.99%21%21%213.84%210.99%21%402101f4dc17611128452705308edac3%2112000030303983184%21sea%21NZ%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Abeb8c3d2%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461950&curPageLogUid=sKd94htJ7kvc&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A727448148%7C_p_origin_prod%3A&search_p4p_id=202510212300455824725483349480001149988_1,3.84,3.84,
NA,Momentary Switch,1,Aliexpress,https://www.aliexpress.com/item/1042107033.html?spm=a2g0o.productlist.main.8.41af1dc859ArZ6&aem_p4p_detail=2025102121464812556454111558440001085905&algo_pvid=17cf606d-b891-4a9e-a760-20d0d980f9b5&algo_exp_id=17cf606d-b891-4a9e-a760-20d0d980f9b5-7&pdp_ext_f=%7B%22order%22%3A%2244%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.04%210.99%21%21%215.04%210.99%21%402103212b17611084085731627e89c9%2165952300265%21sea%21NZ%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Abeb8c3d2%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461950&curPageLogUid=L5PGqnLCVdrA&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1042107033%7C_p_origin_prod%3A&search_p4p_id=2025102121464812556454111558440001085905_2,5.04,5.04,Looking for cheaper
NA,Enclosure,1,Aliexpress,https://www.aliexpress.com/item/1005008394958533.html?spm=a2g0o.productlist.main.9.39ae5bf4eggbWM&algo_pvid=1afa3e84-7a6b-462a-b49c-132afbac5897&algo_exp_id=1afa3e84-7a6b-462a-b49c-132afbac5897-8&pdp_ext_f=%7B%22order%22%3A%229%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.59%212.69%21%21%2125.43%2119.07%21%402101f00e17611130054364209ea975%2112000044840709308%21sea%21NZ%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Abeb8c3d2%3Bm03_new_user%3A-29895&curPageLogUid=nIHeB34yhSRQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008394958533%7C_p_origin_prod%3A,3.59,3.59,Just using bottom half
Total Cost,,,,,,,
,,,,,,21.77,